Frage;Antwort
Wie kann ich einen Termin vereinbaren?;Um einen Termin in unserer Praxis zu vereinbaren, stehen Ihnen mehrere Optionen zur Verfügung: Sie können uns telefonisch unter der Rufnummer 02834 98330 Montags bis Freitags von 8:00 bis 12:00 Uhr und Montags, Dienstags und Donnerstags von 14:30 bis 17:30 Uhr erreichen. Online: Nutzen Sie unsere Website um eine Terminanfrage zu stellen.
Was muss ich zum Termin mitbringen?;Bitte bringen Sie Folgendes mit zu Ihrem Termin: Krankenversichertenkarte Überweisungsschein Vorbefunde in Form von schriftlichen Berichten, Röntgen oder CT-Aufnahmen auf CD Medikamentenplan Anamnesebogen CPAP-Gerät, falls vorhanden
Was mache ich, wenn ich einen Termin absagen oder verschieben muss?;Wenn Sie einen Termin absagen oder verschieben müssen schreiben Sie uns vorzugsweise eine E-Mail und geben Sie Ihren Namen, Geburtsdatum, das Datum des ursprünglichen Termins an und, ob wir Sie für einen neuen Termin kontaktieren dürfen.
Wie lange sind die Wartezeiten in der Regel?;Die Wartezeiten können in Abhängigkeit verschiedener Faktoren variieren. Hier sind einige allgemeine Richtlinien: Geplante Kontrolltermine: Wir bemühen uns, die Wartezeit so kurz wie möglich zu halten, in der Regel sollten Sie für anfallende Untersuchungen und das Arztgespräch 60 bis 90 Minuten einplanen. Es ist jedoch immer ratsam, zusätzliche Zeit einzuplanen. Erster Besuch: Beim ersten Besuch in unserer Praxis kann es länger dauern, da zusätzliche Aufgaben wie die Erfassung Ihrer medizinischen Vorgeschichte und Ihrer Versicherungsdaten notwendig sind.
Ich hätte gerne einen Termin;Um einen Termin in unserer Praxis zu vereinbaren, stehen Ihnen mehrere Optionen zur Verfügung: Sie können uns telefonisch unter der Rufnummer 02834 98330 Montags bis Freitags von 8:00 bis 12:00 Uhr und Montags, Dienstags und Donnerstags von 14:30 bis 17:30 Uhr erreichen. Online: Nutzen Sie unsere Website um eine Terminanfrage zu stellen.
Ich leide an einer Lungenfibrose und bitte um einen Termin.;Um einen Termin in unserer Praxis zu vereinbaren, stehen Ihnen mehrere Optionen zur Verfügung: Sie können uns telefonisch unter der Rufnummer 02834 98330 Montags bis Freitags von 8:00 bis 12:00 Uhr und Montags, Dienstags und Donnerstags von 14:30 bis 17:30 Uhr erreichen. Online: Nutzen Sie unsere Website um eine Terminanfrage zu stellen.
Ich brauche dringend einen Termin.;Für dringende Terminanfragen empfehle ich Ihnen, direkt telefonisch Kontakt mit unserer Praxis aufzunehmen. Unsere Mitarbeiter am Empfang können Ihnen schnell helfen, den frühestmöglichen Termin zu finden und sicherzustellen, dass Sie die notwendige medizinische Betreuung zeitnah erhalten. Falls Sie außerhalb unserer Öffnungszeiten anrufen und es sich um eine ernste medizinische Situation handelt, suchen Sie bitte die nächstgelegene Notaufnahme auf oder rufen Sie den ärztlichen Notdienst an. Ihre Gesundheit ist uns wichtig, und wir sind hier, um Ihnen in dringenden Fällen zu helfen.
Ich habe von meinem Hausarzt eine Überweisung bekommen und möchte einen Termin vereinbaren.;Um einen Termin in unserer Praxis zu vereinbaren, stehen Ihnen mehrere Optionen zur Verfügung: Sie können uns telefonisch unter der Rufnummer 02834 98330 Montags bis Freitags von 8:00 bis 12:00 Uhr und Montags, Dienstags und Donnerstags von 14:30 bis 17:30 Uhr erreichen. Online: Nutzen Sie unsere Website um eine Terminanfrage zu stellen.
Ich möchte gerne einen Termin zur Kontrolle ausmachen.;Um einen Termin in unserer Praxis zu vereinbaren, stehen Ihnen mehrere Optionen zur Verfügung: Sie können uns telefonisch unter der Rufnummer 02834 98330 Montags bis Freitags von 8:00 bis 12:00 Uhr und Montags, Dienstags und Donnerstags von 14:30 bis 17:30 Uhr erreichen. Online: Nutzen Sie unsere Website um eine Terminanfrage zu stellen.
Ich bin Neupatient. Wann wäre der frühstmögliche Termin?;Gesetzlich Versicherte Neupatienten: Aufgrund der hohen Nachfrage müssen Neupatienten, die gesetzlich versichert sind, mit einer Wartezeit von mindestens sechs Monaten rechnen. Wir empfehlen Ihnen, sich so früh wie möglich um einen Termin zu bemühen. Gesetzlich Versicherte Bestandspatienten: Die Vorlaufzeit für einen Termin beträgt etwa drei Monate. Wir bitten Sie, sich rechtzeitig um eine Terminvereinbarung zu kümmern. In dringenden Fällen werden wir uns bemühen, Ihnen so schnell wie möglich einen Termin zur Verfügung zu stellen. Privat Versicherte Neupatienten: Als Neupatient mit privater Versicherung können Sie in der Regel innerhalb von zwei Wochen einen Termin erhalten. Bitte kontaktieren Sie uns, damit wir einen passenden Termin für Sie finden. Privat Versicherte Bestandspatienten: Bestandspatienten mit privater Versicherung können je nach medizinischer Notwendigkeit möglicherweise noch am selben Tag einen Termin erhalten. Informieren Sie uns bitte über Ihre Situation, damit wir entsprechend priorisieren können.
Wie lange dauert es, einen Termin zu bekommen?;Aufgrund der hohen Nachfrage können wir momentan keine kurzfristigen Termine an Patienten vergeben, die gesetzlich versichert sind. Wenn Sie dringend einen Termin benötigen, empfehlen wir Ihnen, Ihre Hausarztpraxis aufzusuchen oder Sie wenden sich an die Telefonhotline des Patientenservice 116117. Unter der Rufnummer 112 können Sie direkt notärztliche Hilfe anfordern.
Ich bekomme schlecht Luft und brauche zeitnah einen Termin.;Gesetzlich Versicherte Neupatienten: Aufgrund der hohen Nachfrage müssen Neupatienten, die gesetzlich versichert sind, mit einer Wartezeit von mindestens sechs Monaten rechnen. Wir empfehlen Ihnen, sich so früh wie möglich um einen Termin zu bemühen. Gesetzlich Versicherte Bestandspatienten: Die Vorlaufzeit für einen Termin beträgt etwa drei Monate. Wir bitten Sie, sich rechtzeitig um eine Terminvereinbarung zu kümmern. In dringenden Fällen werden wir uns bemühen, Ihnen so schnell wie möglich einen Termin zur Verfügung zu stellen. Privat Versicherte Neupatienten: Als Neupatient mit privater Versicherung können Sie in der Regel innerhalb von zwei Wochen einen Termin erhalten. Bitte kontaktieren Sie uns, damit wir einen passenden Termin für Sie finden. Privat Versicherte Bestandspatienten: Bestandspatienten mit privater Versicherung können je nach medizinischer Notwendigkeit möglicherweise noch am selben Tag einen Termin erhalten. Informieren Sie uns bitte über Ihre Situation, damit wir entsprechend priorisieren können.
Ich würde gerne einen Termin vereinbaren.;Aufgrund der hohen Nachfrage können wir momentan keine kurzfristigen Termine an Patienten vergeben, die gesetzlich versichert sind. Wenn Sie dringend einen Termin benötigen, empfehlen wir Ihnen, Ihre Hausarztpraxis aufzusuchen oder Sie wenden sich an die Telefonhotline des Patientenservice 116117. Unter der Rufnummer 112 können Sie direkt notärztliche Hilfe anfordern.
Ich muss ständig husten und bekomme schlecht Luft.;Aufgrund der hohen Nachfrage können wir momentan keine kurzfristigen Termine an Patienten vergeben, die gesetzlich versichert sind. Wenn Sie dringend einen Termin benötigen, empfehlen wir Ihnen, Ihre Hausarztpraxis aufzusuchen oder Sie wenden sich an die Telefonhotline des Patientenservice 116117. Unter der Rufnummer 112 können Sie direkt notärztliche Hilfe anfordern.
Ich habe akute Beschwerden und brauche schnellstmöglich einen Termin.;Aufgrund der hohen Nachfrage können wir momentan keine kurzfristigen Termine an Patienten vergeben, die gesetzlich versichert sind. Wenn Sie dringend einen Termin benötigen, empfehlen wir Ihnen, Ihre Hausarztpraxis aufzusuchen oder Sie wenden sich an die Telefonhotline des Patientenservice 116117. Unter der Rufnummer 112 können Sie direkt notärztliche Hilfe anfordern.
Wie gehe ich vor, wenn ich einen Termin absagen oder verschieben muss?;Aufgrund der hohen Nachfrage können wir momentan keine kurzfristigen Termine an Patienten vergeben, die gesetzlich versichert sind. Wenn Sie dringend einen Termin benötigen, empfehlen wir Ihnen, Ihre Hausarztpraxis aufzusuchen oder Sie wenden sich an die Telefonhotline des Patientenservice 116117. Unter der Rufnummer 112 können Sie direkt notärztliche Hilfe anfordern.
Welche Unterlagen muss ich zum Termin mitbringen?;Wenn Sie einen Termin absagen oder verschieben müssen schreiben Sie uns vorzugsweise eine E-Mail und geben Sie Ihren Namen, Geburtsdatum, das Datum des ursprünglichen Termins an und, ob wir Sie für einen neuen Termin kontaktieren dürfen.
Sie wurden mir empfohlen und ich würde mich gerne für einen Termin bei Ihnen vorstellen.;Bitte bringen Sie Folgendes mit zu Ihrem Termin: Krankenversichertenkarte, Überweisungsschein, Vorbefunde in Form von schriftlichen Berichten, Röntgen oder CT-Aufnahmen auf CD, Medikamentenplan, Anamnesebogen, CPAP-Gerät, falls vorhanden
